backbone,mode,port,params_m,flops_g,best_epoch,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,normal_precision,normal_recall,normal_f1,normal_support,lowvis_precision,lowvis_recall,lowvis_f1,lowvis_support,seafog_precision,seafog_recall,seafog_f1,seafog_support,aber_normal_to_lowvis,aber_normal_to_seafog,aber_lowvis_to_normal,aber_lowvis_to_seafog,aber_seafog_to_lowvis,aber_seafog_to_normal
mobilenet,typeA_7,yeosu,4.36,-1.0,7,0.8340045040636896,0.7572222222222221,0.7375471004547459,0.8340045040636894,0.7572222222222222,0.7375471004547458,0.9328,0.9716666666666668,0.9518367346938776,600,0.5866807610993657,0.925,0.7179818887451488,600,0.982532751091703,0.375,0.5428226779252111,600,0.0283333333333333,0.0,0.0683333333333333,0.0066666666666666,0.6233333333333333,0.0016666666666666
mobilenet,typeA_7,haeundae,4.36,-1.0,1,0.7306227644754228,0.7116666666666666,0.6882685932989417,0.730622764475423,0.7116666666666667,0.6882685932989416,0.8284789644012945,0.8533333333333334,0.8407224958949097,600,0.6212290502793296,0.9266666666666666,0.7438127090301003,600,0.7421602787456446,0.355,0.4802705749718151,600,0.075,0.0716666666666666,0.0216666666666666,0.0516666666666666,0.49,0.155
mobilenet,typeA_11,daesan,4.72,-1.0,8,0.915901249424698,0.9138888888888888,0.9145063105433188,0.915901249424698,0.9138888888888888,0.9145063105433188,0.8980582524271845,0.925,0.9113300492610836,600,0.862012987012987,0.885,0.8733552631578947,600,0.9876325088339224,0.9316666666666666,0.9588336192109777,600,0.0733333333333333,0.0016666666666666,0.105,0.01,0.0683333333333333,0.0
mobilenet,typeA_11,gunsan,4.72,-1.0,16,0.8001669057122349,0.7411111111111112,0.7310850302709512,0.8001669057122348,0.7411111111111112,0.7310850302709512,0.9306930693069309,0.47,0.6245847176079734,600,0.8532110091743119,0.775,0.8122270742358079,600,0.6165966386554622,0.9783333333333334,0.7564432989690721,600,0.1116666666666666,0.4183333333333333,0.035,0.19,0.0216666666666666,0.0
mobilenet,typeA_11,yeosu,4.72,-1.0,1,0.856849844420014,0.8288888888888888,0.8330155419272657,0.856849844420014,0.8288888888888889,0.8330155419272657,0.9689320388349516,0.8316666666666667,0.895067264573991,600,0.6834170854271356,0.9066666666666666,0.7793696275071633,600,0.918200408997955,0.7483333333333333,0.8246097337006428,600,0.1683333333333333,0.0,0.0266666666666666,0.0666666666666666,0.2516666666666666,0.0
mobilenet,typeA_11,haeundae,4.72,-1.0,2,0.7203269592277081,0.7027777777777778,0.6820703391448345,0.7203269592277082,0.7027777777777777,0.6820703391448345,0.8501742160278746,0.8133333333333334,0.8313458262350937,600,0.6117775354416576,0.935,0.7396176664469347,600,0.6990291262135923,0.36,0.4752475247524752,600,0.085,0.1016666666666666,0.0116666666666666,0.0533333333333333,0.5083333333333333,0.1316666666666666
mobilenet,typeA_15,daesan,5.24,-1.0,11,0.9078733960030364,0.8905555555555557,0.8930233776715504,0.9078733960030364,0.8905555555555555,0.8930233776715504,0.9538745387453874,0.8616666666666667,0.9054290718038528,600,0.7697456492637216,0.9583333333333334,0.8537490720118782,600,1.0,0.8516666666666667,0.91989198919892,600,0.1383333333333333,0.0,0.0416666666666666,0.0,0.1483333333333333,0.0
mobilenet,typeA_15,gunsan,5.24,-1.0,15,0.8043847416303801,0.773888888888889,0.7666188726484923,0.8043847416303801,0.7738888888888888,0.7666188726484922,0.902439024390244,0.555,0.6873065015479877,600,0.8292682926829268,0.7933333333333333,0.8109028960817717,600,0.6814469078179697,0.9733333333333334,0.8016472203157172,600,0.14,0.305,0.0566666666666666,0.15,0.0233333333333333,0.0033333333333333
mobilenet,typeA_15,yeosu,5.24,-1.0,10,0.7933510982413773,0.7427777777777779,0.7336991515420533,0.7933510982413773,0.7427777777777778,0.7336991515420533,0.8753894080996885,0.9366666666666666,0.9049919484702094,600,0.5823665893271461,0.8366666666666667,0.6867305061559508,600,0.9222972972972971,0.455,0.609375,600,0.0566666666666666,0.0066666666666666,0.1316666666666666,0.0316666666666666,0.5433333333333333,0.0016666666666666
mobilenet,typeA_15,haeundae,5.24,-1.0,2,0.76347161738728,0.7294444444444445,0.7117340020489559,0.7634716173872801,0.7294444444444445,0.7117340020489558,0.8743545611015491,0.8466666666666667,0.8602878916172735,600,0.6153846153846154,0.9466666666666668,0.7458962573867367,600,0.8006756756756757,0.395,0.5290178571428571,600,0.1016666666666666,0.0516666666666666,0.0066666666666666,0.0466666666666666,0.49,0.115
